Date,Time,CPU_Percent,CPU_Core_1_Utilization,CPU_Core_2_Utilization,CPU_Core_3_Utilization,CPU_Core_4_Utilization
2025-01-19 16:17:16.586624,4.2,[3.0, 4.9, 39.0, 6.8]
2025-01-19 16:17:19.591970,5.0,[4.0, 8.6, 2.0, 8.7]
2025-01-19 16:17:22.597858,12.6,[10.7, 5.9, 8.7, 11.5]
2025-01-19 16:17:25.602897,5.0,[0.0, 2.1, 9.5, 5.1]
2025-01-19 16:17:28.608313,4.2,[10.4, 10.4, 5.9, 0.0]
2025-01-19 16:17:31.614241,7.5,[6.0, 9.5, 3.0, 0.0]
2025-01-19 16:17:34.619971,4.7,[8.0, 7.8, 14.3, 8.7]
2025-01-19 16:17:37.625458,6.1,[10.7, 7.6, 4.0, 1.0]
2025-01-19 16:17:40.631100,5.1,[6.0, 6.2, 11.5, 1.0]
2025-01-19 16:17:43.637158,5.9,[8.7, 5.0, 1.0, 9.7]
2025-01-19 16:17:46.643148,5.7,[1.0, 5.9, 6.0, 2.0]
2025-01-19 16:17:49.648916,11.3,[6.0, 11.7, 5.9, 8.7]
2025-01-19 16:17:52.654813,16.6,[9.4, 8.3, 14.3, 11.9]
2025-01-19 16:17:55.660608,15.5,[11.0, 10.2, 13.9, 5.1]
2025-01-19 16:17:58.665925,11.4,[22.0, 21.4, 19.2, 24.5]
2025-01-19 16:18:01.671673,10.4,[12.1, 15.5, 12.9, 11.2]
2025-01-19 16:18:04.677338,22.2,[10.3, 9.4, 14.7, 9.1]
2025-01-19 16:18:07.680537,8.0,[8.9, 8.9, 3.1, 9.9]
2025-01-19 16:18:10.684217,9.4,[7.0, 8.0, 6.2, 10.7]
2025-01-19 16:18:13.688756,9.6,[7.2, 6.1, 10.7, 8.1]
2025-01-19 16:18:16.694340,8.5,[8.9, 12.5, 7.0, 8.9]
2025-01-19 16:18:19.699904,11.7,[9.7, 9.9, 12.6, 7.8]
2025-01-19 16:18:22.705456,7.8,[8.0, 8.2, 7.8, 13.5]
2025-01-19 16:18:25.711090,9.8,[8.8, 11.4, 6.2, 9.6]
2025-01-19 16:18:28.716619,9.4,[9.7, 3.1, 7.7, 5.3]
2025-01-19 16:18:31.721952,7.0,[9.2, 8.9, 11.5, 7.1]
2025-01-19 16:18:34.727536,10.2,[2.1, 10.6, 8.1, 10.1]
2025-01-19 16:18:37.732482,8.7,[16.8, 9.4, 13.7, 18.6]
2025-01-19 16:18:40.737337,99.8,[99.0, 99.0, 100.0, 100.0]
2025-01-19 16:18:43.741868,0.3,[0.0, 7.6, 0.0, 2.0]
2025-01-19 16:18:46.747542,0.8,[0.0, 0.0, 0.0, 0.0]
