"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info","frame.number","frame.len","frame.protocols","wlan.duration","wlan.ra","wlan.ta","wlan.da","wlan.sa","wlan.bssid","wlan.frag","wlan.seq","wlan.fc.type","wlan.fc.subtype","wlan.bssid_resolved","llc.type","ip.hdr_len","ip.len","udp.lenght","data.len","ip.id","ip.flags","ip.ttl","ip.proto","ip.src","ip.dst","tcp.srcport","tcp.dstport","tcp.seq_raw","tcp.ack_raw","tcp.hdr_len","tcp.flags","tcp.window_size","tcp.options","udp.srcport","udp.dstport","data.data","time_since_last_packet","Frame length stored into the capture file","Destination","Address","Data rate (Mb/s)","Source","Antenna signal","PHY type","Channel","Frequency","SSID","Maximum Transmit Power Level"
"1","2024-10-20 10:50:12.543184","192.168.11.192","192.168.11.2","TCP","66","1","48546  >  22 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=581761954 TSecr=130340885","1","66","eth:ethertype:ip:tcp","","","","","","","","","","","","","20","52","","","0x40e4 (16612)","0x2","64","TCP","192.168.11.192","192.168.11.2","48546","22","2025459796","549575238","32","0x010","501","0101080a22acfba207c4d815","","","","0.000000000","66","RaspberryPiT_6d:2d:9b","RaspberryPiT_6d:2d:9b,TpLinkTechno_19:17:c2","","TpLinkTechno_19:17:c2","","","","","",""
"2","2024-10-20 10:50:12.548958","192.168.11.192","192.168.11.2","TCP","78","1","48550  >  22 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=581761970 TSecr=130340957 SLE=4294967261 SRE=1","2","78","eth:ethertype:ip:tcp","","","","","","","","","","","","","20","64","","","0x6372 (25458)","0x2","64","TCP","192.168.11.192","192.168.11.2","48550","22","2857143342","3126351249","44","0x010","501","0101080a22acfbb207c4d85d0101050aba58556dba585591","","","","0.005774000","78","RaspberryPiT_6d:2d:9b","RaspberryPiT_6d:2d:9b,TpLinkTechno_19:17:c2","","TpLinkTechno_19:17:c2","","","","","",""
"3","2024-10-20 10:50:12.562814","192.168.11.2","192.168.11.192","SSH","190","1","Server: Encrypted packet (len=124)","3","190","eth:ethertype:ip:tcp:ssh","","","","","","","","","","","","","20","176","","","0x571f (22303)","0x2","64","TCP","192.168.11.2","192.168.11.192","22","48550","3126351249","2857143342","32","0x018","501","0101080a07c4d96422acfbb2","","","","0.013856000","190","TpLinkTechno_19:17:c2","TpLinkTechno_19:17:c2,RaspberryPiT_6d:2d:9b","","RaspberryPiT_6d:2d:9b","","","","","",""
"4","2024-10-20 10:50:12.568673","192.168.11.192","192.168.11.2","TCP","66","1","48550  >  22 [ACK] Seq=1 Ack=125 Win=501 Len=0 TSval=581762161 TSecr=130341220","4","66","eth:ethertype:ip:tcp","","","","","","","","","","","","","20","52","","","0x6373 (25459)","0x2","64","TCP","192.168.11.192","192.168.11.2","48550","22","2857143342","3126351373","32","0x010","501","0101080a22acfc7107c4d964","","","","0.005859000","66","RaspberryPiT_6d:2d:9b","RaspberryPiT_6d:2d:9b,TpLinkTechno_19:17:c2","","TpLinkTechno_19:17:c2","","","","","",""
"5","2024-10-20 10:50:13.091145","192.168.11.3","192.168.11.2","TCP","74","0","54972  >  11311 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1514339545 TSecr=0 WS=128","5","74","eth:ethertype:ip:tcp","","","","","","","","","","","","","20","60","","","0xa8c3 (43203)","0x2","64","TCP","192.168.11.3","192.168.11.2","54972","11311","3416020664","0","40","0x002","64240","020405b40402080a5a42fcd90000000001030307","","","","0.522472000","74","RaspberryPiT_6d:2d:9b","RaspberryPiT_6d:2d:9b,RaspberryPiT_a4:f8:e5","","RaspberryPiT_a4:f8:e5","","","","","",""
"6","2024-10-20 10:50:13.091227","192.168.11.2","192.168.11.3","TCP","74","0","11311  >  54972 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3009084263 TSecr=1514339545 WS=128","6","74","eth:ethertype:ip:tcp","","","","","","","","","","","","","20","60","","","0x0000 (0)","0x2","64","TCP","192.168.11.2","192.168.11.3","11311","54972","3897330151","3416020665","40","0x012","65160","020405b40402080ab35afb675a42fcd901030307","","","","0.000082000","74","RaspberryPiT_a4:f8:e5","RaspberryPiT_a4:f8:e5,RaspberryPiT_6d:2d:9b","","RaspberryPiT_6d:2d:9b","","","","","",""
"7","2024-10-20 10:50:13.094684","192.168.11.3","192.168.11.2","TCP","66","1","54972  >  11311 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1514339553 TSecr=3009084263","7","66","eth:ethertype:ip:tcp","","","","","","","","","","","","","20","52","","","0xa8c4 (43204)","0x2","64","TCP","192.168.11.3","192.168.11.2","54972","11311","3416020665","3897330152","32","0x010","64256","0101080a5a42fce1b35afb67","","","","0.003457000","66","RaspberryPiT_6d:2d:9b","RaspberryPiT_6d:2d:9b,RaspberryPiT_a4:f8:e5","","RaspberryPiT_a4:f8:e5","","","","","",""
"8","2024-10-20 10:50:13.098120","192.168.11.3","192.168.11.2","HTTP/XML","385","1","POST / HTTP/1.1 ","8","385","eth:ethertype:ip:tcp:http:xml","","","","","","","","","","","","","20","371","","","0xa8c5 (43205)","0x2","64","TCP","192.168.11.3","192.168.11.2","54972","11311","3416020665","3897330152","32","0x018","64256","0101080a5a42fce1b35afb67","","","","0.003436000","385","RaspberryPiT_6d:2d:9b","RaspberryPiT_6d:2d:9b,RaspberryPiT_a4:f8:e5","","RaspberryPiT_a4:f8:e5","","","","","",""
"9","2024-10-20 10:50:13.098188","192.168.11.2","192.168.11.3","TCP","66","1","11311  >  54972 [ACK] Seq=1 Ack=320 Win=64896 Len=0 TSval=3009084270 TSecr=1514339553","9","66","eth:ethertype:ip:tcp","","","","","","","","","","","","","20","52","","","0xf5ba (62906)","0x2","64","TCP","192.168.11.2","192.168.11.3","11311","54972","3897330152","3416020984","32","0x010","64896","0101080ab35afb6e5a42fce1","","","","0.000068000","66","RaspberryPiT_a4:f8:e5","RaspberryPiT_a4:f8:e5,RaspberryPiT_6d:2d:9b","","RaspberryPiT_6d:2d:9b","","","","","",""
"10","2024-10-20 10:50:13.099986","192.168.11.2","192.168.11.3","HTTP/XML","451","1","HTTP/1.1 200 OK ","10","451","eth:ethertype:ip:tcp:http:xml","","","","","","","","","","","","","20","437","","","0xf5bb (62907)","0x2","64","TCP","192.168.11.2","192.168.11.3","11311","54972","3897330152","3416020984","32","0x018","64896","0101080ab35afb705a42fce1","","","","0.001798000","451","RaspberryPiT_a4:f8:e5","RaspberryPiT_a4:f8:e5,RaspberryPiT_6d:2d:9b","","RaspberryPiT_6d:2d:9b","","","","","",""
"11","2024-10-20 10:50:13.109551","192.168.11.3","192.168.11.2","TCP","66","320","54972  >  11311 [ACK] Seq=320 Ack=386 Win=64128 Len=0 TSval=1514339568 TSecr=3009084272","11","66","eth:ethertype:ip:tcp","","","","","","","","","","","","","20","52","","","0xa8c6 (43206)","0x2","64","TCP","192.168.11.3","192.168.11.2","54972","11311","3416020984","3897330537","32","0x010","64128","0101080a5a42fcf0b35afb70","","","","0.009565000","66","RaspberryPiT_6d:2d:9b","RaspberryPiT_6d:2d:9b,RaspberryPiT_a4:f8:e5","","RaspberryPiT_a4:f8:e5","","","","","",""
"12","2024-10-20 10:50:13.111489","192.168.11.3","192.168.11.2","HTTP/XML","490","320","POST / HTTP/1.1 ","12","490","eth:ethertype:ip:tcp:http:xml","","","","","","","","","","","","","20","476","","","0xa8c7 (43207)","0x2","64","TCP","192.168.11.3","192.168.11.2","54972","11311","3416020984","3897330537","32","0x018","64128","0101080a5a42fcf2b35afb70","","","","0.001938000","490","RaspberryPiT_6d:2d:9b","RaspberryPiT_6d:2d:9b,RaspberryPiT_a4:f8:e5","","RaspberryPiT_a4:f8:e5","","","","","",""
"13","2024-10-20 10:50:13.111525","192.168.11.2","192.168.11.3","TCP","66","386","11311  >  54972 [ACK] Seq=386 Ack=744 Win=64512 Len=0 TSval=3009084283 TSecr=1514339570","13","66","eth:ethertype:ip:tcp","","","","","","","","","","","","","20","52","","","0xf5bc (62908)","0x2","64","TCP","192.168.11.2","192.168.11.3","11311","54972","3897330537","3416021408","32","0x010","64512","0101080ab35afb7b5a42fcf2","","","","0.000036000","66","RaspberryPiT_a4:f8:e5","RaspberryPiT_a4:f8:e5,RaspberryPiT_6d:2d:9b","","RaspberryPiT_6d:2d:9b","","","","","",""
"14","2024-10-20 10:50:13.113967","192.168.11.2","192.168.11.3","HTTP/XML","572","386","HTTP/1.1 200 OK ","14","572","eth:ethertype:ip:tcp:http:xml","","","","","","","","","","","","","20","558","","","0xf5bd (62909)","0x2","64","TCP","192.168.11.2","192.168.11.3","11311","54972","3897330537","3416021408","32","0x018","64512","0101080ab35afb7e5a42fcf2","","","","0.002442000","572","RaspberryPiT_a4:f8:e5","RaspberryPiT_a4:f8:e5,RaspberryPiT_6d:2d:9b","","RaspberryPiT_6d:2d:9b","","","","","",""
