Time,SSID,Quality,Signal
2025-01-19 16:30:48.300975,clover1,70/70,-40
2025-01-19 16:30:53.015358,clover1,70/70,-40
2025-01-19 16:30:57.728343,clover1,70/70,-39
2025-01-19 16:31:02.447796,clover1,70/70,-36
2025-01-19 16:31:07.161729,clover1,69/70,-41
2025-01-19 16:31:12.072324,clover1,64/70,-46
2025-01-19 16:31:16.785443,clover1,58/70,-52
2025-01-19 16:31:21.596936,clover1,57/70,-53
2025-01-19 16:31:26.311066,clover1,59/70,-51
2025-01-19 16:31:31.128955,clover1,48/70,-62
2025-01-19 16:31:35.942719,clover1,54/70,-56
2025-01-19 16:31:40.657553,clover1,58/70,-52
2025-01-19 16:31:45.373652,clover1,57/70,-53
2025-01-19 16:31:50.087638,clover1,59/70,-51
2025-01-19 16:31:54.795071,clover1,55/70,-55
