Date,Time,CPU_Percent,CPU_Core_1_Utilization,CPU_Core_2_Utilization,CPU_Core_3_Utilization,CPU_Core_4_Utilization
2025-01-19 16:17:15.042521,29.9,14.6,4.2,91.0,11.6
2025-01-19 16:17:18.046808,30.3,40.0,22.7,9.5,90.1
2025-01-19 16:17:21.051157,33.7,6.3,15.7,15.3,98.0
2025-01-19 16:17:24.055490,32.7,9.8,4.3,78.0,23.7
2025-01-19 16:17:27.059899,33.8,12.1,12.1,11.9,98.0
2025-01-19 16:17:30.064242,35.0,17.9,11.0,4.3,99.0
2025-01-19 16:17:33.068207,31.5,14.0,12.7,13.7,97.0
2025-01-19 16:17:36.072626,36.1,12.0,99.0,9.1,5.3
2025-01-19 16:17:39.077041,31.4,98.0,13.9,5.2,15.5
2025-01-19 16:17:42.081423,32.2,14.3,14.3,99.0,5.9
2025-01-19 16:17:45.085140,31.8,6.2,10.1,99.0,3.3
2025-01-19 16:17:48.089573,31.5,19.4,42.4,20.8,47.9
2025-01-19 16:17:51.093932,34.8,11.2,98.0,14.9,8.3
2025-01-19 16:17:54.098354,33.2,96.9,15.2,14.3,16.2
2025-01-19 16:17:57.102762,35.7,96.0,13.4,17.8,17.9
2025-01-19 16:18:00.107160,34.4,16.8,10.3,14.0,98.0
2025-01-19 16:18:03.111537,35.6,13.3,96.9,21.9,13.7
2025-01-19 16:18:06.115928,33.4,14.6,78.8,7.4,26.7
2025-01-19 16:18:09.120330,31.1,2.0,100.0,8.8,12.6
2025-01-19 16:18:12.124839,30.5,4.0,100.0,10.8,10.7
2025-01-19 16:18:15.129396,22.7,9.8,6.0,11.8,12.5
2025-01-19 16:18:18.133597,11.8,19.8,9.8,13.7,11.8
2025-01-19 16:18:21.139501,10.6,15.5,11.1,15.1,10.9
2025-01-19 16:18:24.144944,13.9,11.9,8.3,13.7,9.0
2025-01-19 16:18:27.150337,12.0,10.7,12.6,6.1,13.9
2025-01-19 16:18:30.155893,11.3,16.5,11.1,10.8,10.9
2025-01-19 16:18:33.161406,11.6,16.7,14.0,6.3,15.4
2025-01-19 16:18:36.167209,42.3,38.0,54.5,0.0,0.0
2025-01-19 16:18:39.171776,1.3,9.1,0.0,2.0,2.0
2025-01-19 16:18:42.176860,5.0,0.0,2.0,4.0,8.5
2025-01-19 16:18:45.182314,3.7,2.0,5.9,2.0,2.0
