Time,SSID,Quality,Signal
2024-10-20 10:50:17.835809,clover1,66/70,-44
2024-10-20 10:50:22.643154,clover1,66/70,-44
2024-10-20 10:50:27.446689,clover1,66/70,-44
2024-10-20 10:50:32.255731,clover1,66/70,-44
2024-10-20 10:50:36.967111,clover1,66/70,-44
2024-10-20 10:50:41.780707,clover1,67/70,-43
2024-10-20 10:50:46.496999,clover1,66/70,-44
2024-10-20 10:50:51.207531,clover1,67/70,-43
2024-10-20 10:50:55.918684,clover1,67/70,-43
2024-10-20 10:51:00.730277,clover1,66/70,-44
2024-10-20 10:51:05.539495,clover1,66/70,-44
2024-10-20 10:51:10.248058,clover1,67/70,-43
2024-10-20 10:51:14.957521,clover1,66/70,-44
2024-10-20 10:51:19.767378,clover1,67/70,-43
2024-10-20 10:51:24.580289,clover1,67/70,-43
2024-10-20 10:51:29.291950,clover1,67/70,-43
2024-10-20 10:51:34.005480,clover1,66/70,-44
2024-10-20 10:51:38.718484,clover1,67/70,-43
2024-10-20 10:51:43.432914,clover1,66/70,-44
2024-10-20 10:51:48.142053,clover1,66/70,-44
2024-10-20 10:51:52.852013,clover1,67/70,-43
2024-10-20 10:51:57.666634,clover1,66/70,-44
2024-10-20 10:52:02.378742,clover1,66/70,-44
2024-10-20 10:52:07.192005,clover1,66/70,-44
2024-10-20 10:52:11.902854,clover1,66/70,-44
2024-10-20 10:52:16.715206,clover1,67/70,-43
2024-10-20 10:52:21.422625,clover1,67/70,-43
