LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-10-23 18:41:34,1900-01-00 00:00:00,,D8:3A:DD:A4:F8:E5,-47,,0.000000,0.000000,0.000,0.000,Client
2024-10-23 18:41:34,1900-01-00 00:00:00,,D8:3A:DD:A4:F8:E5,-46,,0.000000,0.000000,0.000,0.000,Client
2024-10-23 18:41:34,1900-01-00 00:00:00,,DC:A6:32:6D:2D:9B,-48, ,0.000000,0.000000,0.000,0.000,AP
2024-10-23 18:41:34,1900-01-00 00:00:00,clover1,DC:A6:32:6D:2D:9B,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-23 18:41:34,1900-01-00 00:00:00,,D8:3A:DD:A4:F8:E5,-49,,0.000000,0.000000,0.000,0.000,Client
2024-10-23 18:41:34,1900-01-00 00:00:00,,D8:3A:DD:A4:F8:E5,-50,,0.000000,0.000000,0.000,0.000,Client
2024-10-23 18:41:34,1900-01-00 00:00:00,,D8:3A:DD:A4:F8:E5,-49,,0.000000,0.000000,0.000,0.000,Client
2024-10-23 18:41:34,1900-01-00 00:00:00,,D8:3A:DD:A4:F8:E5,-50,,0.000000,0.000000,0.000,0.000,Client
2024-10-23 18:41:34,1900-01-00 00:00:00,,D8:3A:DD:A4:F8:E5,-49,,0.000000,0.000000,0.000,0.000,Client
2024-10-23 18:41:35,1900-01-00 00:00:00,clover1,DC:A6:32:6D:2D:9B,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-23 18:41:35,1900-01-00 00:00:00,clover1,DC:A6:32:6D:2D:9B,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-23 18:41:35,1900-01-00 00:00:00,clover1,DC:A6:32:6D:2D:9B,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-10-23 18:41:35,1900-01-00 00:00:00,,D8:3A:DD:A4:F8:E5,-51,,0.000000,0.000000,0.000,0.000,Client
2024-10-23 18:41:35,1900-01-00 00:00:00,,D8:3A:DD:A4:F8:E5,-52,,0.000000,0.000000,0.000,0.000,Client
